,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Stopa zwrotu,Stopa otwarcie-zamkniecie,Stopa zamkniecie-otwarcie
29,2022-02-14,8.42,8.855,8.4,8.55,1700125,-0.033355593700882924,0.0153214546944338,0.02597548640326064
30,2022-02-15,8.51,9.095,8.51,9.0,1172377,0.05129329438755059,0.0559826347509369,-0.06661474908198439
31,2022-02-16,9.0,9.16,8.845,8.88,468005,-0.013423020332140823,-0.013423020332140823,-0.04255961441879608
32,2022-02-17,8.855,8.88,8.52,8.54,639689,-0.03904054920360034,-0.03622126343431864,0.05246356953574116
33,2022-02-18,8.6,8.745,8.48,8.53,558782,-0.001171646296890927,-0.008172841755874405,0.03739290973120957
34,2022-02-21,8.53,8.705,8.06,8.325,934821,-0.024326325637079815,-0.024326325637079815,0.03249916739295422
35,2022-02-22,8.05,8.695,7.83,8.625,1407700,0.03540192705091583,0.06899287148695121,-0.011075601413836011
36,2022-02-23,8.875,8.875,8.165,8.185,1332047,-0.052361752094325364,-0.08093512453838159,-0.016631119392625848
37,2022-02-24,7.51,7.53,6.51,6.59,4023795,-0.21674986230868232,-0.1306821172616277,0.2976849868470639
38,2022-02-25,7.005,7.5,6.9,7.33,2454490,0.10642216738414434,0.04535133610958986,0.024259949877483367
39,2022-02-28,7.145,7.38,6.905,7.005,2774586,-0.04535133610958986,-0.019788631592860373,0.0
40,2022-03-01,7.07,7.325,6.37,6.485,2076236,-0.07713236202056306,-0.0863686621400741,0.09692099361342343
41,2022-03-02,6.565,6.585,6.1,6.15,3086998,-0.05303973594998057,-0.065300425936333,0.13940839809005467
42,2022-03-03,6.26,6.35,6.01,6.13,3029535,-0.0032573318703066345,-0.02098543516388718,0.06855775780663964
43,2022-03-04,6.03,6.04,5.43,5.5,3129957,-0.10844665770969475,-0.09199891850066888,0.12943209287358193
44,2022-03-07,5.25,5.575,5.0,5.22,3984752,-0.05225069034387797,-0.0057306747089851395,0.14424960884454685
45,2022-03-08,5.2,5.91,5.12,5.605,2492074,0.07116165462957591,0.07500043093674158,-0.06543097992059077
46,2022-03-09,5.8,6.35,5.7,6.33,3403476,0.12164117963196164,0.08744231860371121,-0.19664161056870322
47,2022-03-10,6.59,6.59,6.03,6.09,2538979,-0.03865215443427927,-0.07890526679261023,-0.04879016416943194
48,2022-03-11,6.16,6.35,6.03,6.06,2553406,-0.00493828164058252,-0.016366977464205457,0.08384354843319275
49,2022-03-14,6.1,6.15,5.83,5.965,3018255,-0.015800744531343724,-0.02237971562938612,0.03216772199554918
50,2022-03-15,6.04,6.17,5.85,6.115,1130307,0.024835713589256292,0.012340757192412122,-0.002455997959870171
51,2022-03-16,6.21,6.475,6.21,6.36,2656001,0.039283608212895116,0.0238674814066433,-0.05162436540530724
52,2022-03-17,6.455,6.73,6.4,6.56,4073656,0.030962225603966775,0.01613557865739179,-0.054829707010610074
53,2022-03-18,6.7,6.7,6.22,6.3,3553736,-0.04044096955851062,-0.061557892999433594,0.02430539090111883
54,2022-03-21,6.27,6.46,6.12,6.16,2074859,-0.022472855852058382,-0.017699577099400843,0.08403074885149198
55,2022-03-22,6.2,6.425,6.11,6.425,1962440,0.042119853235854876,0.0356473387302374,-0.024420276136454033
56,2022-03-23,6.4,6.53,6.16,6.25,1214303,-0.027615167032973176,-0.023716526617316047,-0.008032171697264223
57,2022-03-24,6.3,6.31,6.12,6.175,1053620,-0.012072581234269242,-0.020040750883445924,0.03578910785158529
58,2022-03-25,6.2,6.26,6.05,6.24,1475894,0.010471299867295336,0.0064308903302903175,0.009569451016150587
59,2022-03-28,6.25,6.35,6.16,6.16,1118558,-0.012903404835907795,-0.0145046862028817,0.006472514505617477
60,2022-03-29,6.25,6.79,6.135,6.64,3949601,0.07503518594291392,0.06053049974003222,-0.06053049974003222
61,2022-03-30,6.55,6.745,6.485,6.74,1453309,0.01494796143587318,0.028594875277055065,-0.0754784611759054
62,2022-03-31,6.74,6.85,6.625,6.625,1524159,-0.017209553051929616,-0.017209553051929616,-0.01138532222512545
63,2022-04-01,6.685,6.845,6.64,6.8,907555,0.026072240309775063,0.017056401628154694,-0.008862687257845447
64,2022-04-04,6.89,6.95,6.795,6.855,1285501,0.008055700832216628,-0.005092772011289437,-0.02511210246037132
65,2022-04-05,6.815,6.96,6.58,6.62,1199324,-0.03488294306536077,-0.029030695199579126,0.03997571507665021
66,2022-04-06,6.7,6.755,6.345,6.43,2334320,-0.02912083169938895,-0.041132988147392524,0.058151526898968076
67,2022-04-07,6.445,6.66,6.445,6.6,758207,0.02609511078285176,0.02376501264122899,0.015037877364540764
68,2022-04-08,6.62,6.65,6.31,6.33,929467,-0.041769412876294876,-0.044795133792832065,0.018004400235065887
69,2022-04-11,6.3,6.43,6.195,6.33,1138927,0.0,0.004750602758597955,0.044795133792832065
70,2022-04-12,6.33,6.415,6.21,6.295,1124431,-0.005544568659774374,-0.005544568659774374,0.0007939659011764189
71,2022-04-13,6.295,6.385,6.215,6.24,531124,-0.008775485114974169,-0.008775485114974169,0.014320053774748542
72,2022-04-14,6.2,6.28,6.165,6.165,460289,-0.012092045765028647,-0.00566115543473833,0.020867530880002816
73,2022-04-19,6.17,6.235,6.06,6.21,608819,0.007272759329079781,0.006462058028090967,-0.0016116038943414512
74,2022-04-20,6.15,6.315,6.15,6.2,1301848,-0.0016116038943414512,0.008097210232619334,-0.0048504541337495155
75,2022-04-21,6.19,6.345,6.15,6.15,956517,-0.008097210232619334,-0.00648300487807818,0.0
76,2022-04-22,6.14,6.2,6.07,6.09,1459840,-0.00980400009662108,-0.00817666043724552,0.01628700497469926
77,2022-04-25,6.075,6.075,5.545,5.57,3084109,-0.0892530277826129,-0.08678693528741954,0.09742968821985842
78,2022-04-26,5.65,5.785,5.28,5.35,1634645,-0.04029849303127753,-0.054558984250434595,0.12708542831869707
79,2022-04-27,5.3,5.3,4.92,5.02,1699629,-0.0636666272042774,-0.05427688685443832,0.118225611454712
80,2022-04-28,5.1,5.33,5.085,5.255,1195459,0.045750070625276695,0.02993946459863439,0.008526816229161627
81,2022-04-29,5.31,5.485,5.03,5.035,2976068,-0.04276647815838874,-0.05317830908332177,0.012827013559754352
82,2022-05-02,5.08,5.085,4.9,5.01,695075,-0.004977611073752275,-0.013875346493617213,0.05815592015707405
83,2022-05-04,5.03,5.05,4.86,4.99,1177052,-0.004000005333345991,-0.00798407434822046,0.017875351826963204
84,2022-05-05,5.1,5.15,4.704,4.8,3477435,-0.03881999184958218,-0.0606246218164348,0.04680406619780264
85,2022-05-06,4.68,4.692,4.504,4.608,3499393,-0.040821994520255256,-0.015504186535965303,0.10144661633669005
86,2022-05-09,4.57,4.66,4.462,4.508,1103804,-0.021940327216060096,-0.013659608728583406,0.0374445137520254
87,2022-05-10,4.56,4.714,4.428,4.6,1707815,0.020202707317519275,0.008733679968754515,-0.0065430985889358695
88,2022-05-11,4.67,4.67,4.45,4.5,1201883,-0.021978906718775004,-0.037081674904531736,0.013245226750020489
89,2022-05-12,4.45,4.484,4.302,4.38,2641011,-0.027028672387919395,-0.015855371789794015,0.06411034729245113
90,2022-05-13,4.49,4.608,4.45,4.51,2054765,0.029248429126232267,0.004444451760424073,-0.013393057336438252
91,2022-05-16,4.58,4.84,4.52,4.728,1723906,0.047205126589209945,0.031803281977703435,-0.05164957834963402
92,2022-05-17,4.8,4.844,4.68,4.688,2817144,-0.008496227829085656,-0.02360986563913392,-0.02330705414861778
93,2022-05-18,4.74,5.0,4.736,4.762,2866272,0.015661695789959573,0.004630612357685804,0.007948169849174347
94,2022-05-19,4.65,4.79,4.53,4.53,1954921,-0.04994580856972819,-0.026145280104322266,0.045315196212042386
95,2022-05-20,4.646,4.69,4.494,4.496,1656147,-0.007533826903552754,-0.03281852175682731,0.03367910700787502
96,2022-05-23,4.6,4.7,4.582,4.68,1008405,0.04010999733816534,0.017241806434506124,-0.007291475581338025
97,2022-05-24,4.65,4.688,4.53,4.55,1510371,-0.02817087696669618,-0.02173998663640586,0.010929070532190055
98,2022-05-25,4.6,4.63,4.5,4.62,1150247,0.015267472130788384,0.004338401598598329,0.006472514505617477
99,2022-05-26,4.62,4.772,4.592,4.77,1041696,0.03195159980660223,0.03195159980660223,-0.036290001405200556
100,2022-05-27,4.78,4.78,4.604,4.744,1107595,-0.005465643204825454,-0.0075598848079403425,-0.026485956601776772
101,2022-05-30,4.8,4.926,4.76,4.92,625398,0.03642786880879245,0.024692612590371477,-0.02886798400085211
102,2022-05-31,4.94,4.94,4.794,4.898,457852,-0.004481571974240817,-0.008538372669855354,-0.02021104061613066
103,2022-06-01,4.9,4.95,4.768,4.832,772300,-0.013566497897462115,-0.013974744484067214,0.02210487056731747
104,2022-06-02,4.89,4.89,4.76,4.77,641425,-0.012914155732264065,-0.024845998586530804,0.02688890021633128
105,2022-06-03,4.812,4.812,4.614,4.614,1150619,-0.03325114514868788,-0.04201763836087058,0.05809714373521868
106,2022-06-06,4.61,4.83,4.61,4.796,572189,0.03868707741370603,0.039554380156710645,0.0033305609471645514
107,2022-06-07,4.75,4.76,4.66,4.76,444850,-0.007534568921939266,0.0021030501967786996,-0.03201981123477138
108,2022-06-08,4.77,4.77,4.522,4.62,674840,-0.02985296314968111,-0.03195159980660223,0.02774991295290241
109,2022-06-09,4.58,4.628,4.418,4.486,1133617,-0.029433268995630923,-0.020737562028076972,0.06138486880223315
110,2022-06-10,4.47,4.47,4.252,4.3,1256723,-0.04234641339849987,-0.03877338592596069,0.06308397542657684
111,2022-06-13,4.25,4.25,4.0,4.046,2022128,-0.060886283953963005,-0.04919024419077167,0.0996596698799237
112,2022-06-14,4.1,4.18,3.98,4.012,1187542,-0.008438868645864739,-0.021697103610573087,0.05762911283663641
113,2022-06-15,4.06,4.072,3.966,4.072,1145723,0.014844409148532689,0.002951305634580459,0.0068526944620403984
114,2022-06-17,3.998,4.21,3.962,4.068,2096594,-0.0009828010619081784,0.017357242108105186,-0.0019685045726722805
115,2022-06-20,4.2,4.2,4.092,4.16,498664,0.02236359608685845,-0.00956945101615081,-0.03972083819496364
116,2022-06-21,4.2,4.246,4.104,4.15,482819,-0.0024067400305649578,-0.011976191046715767,0.011976191046715767
117,2022-06-22,4.09,4.16,4.006,4.12,1199486,-0.007255170881171891,0.0073081933067247196,0.019231361927887658
118,2022-06-23,4.14,4.144,3.96,4.0,741350,-0.029558802241544502,-0.03440142671733226,0.022250608934819782
119,2022-06-24,4.054,4.13,3.966,4.062,1384234,0.015381102038302341,0.0019714151283845016,0.01902032467902992
120,2022-06-27,4.1,4.138,4.002,4.066,495897,0.000984252047961931,-0.008327258504107204,-0.0029556671763464326
121,2022-06-28,4.07,4.13,4.022,4.05,950289,-0.0039428340877070145,-0.004926118336055829,0.012270092591814219
122,2022-06-29,4.0,4.028,3.934,4.01,1682503,-0.009925639799970076,0.0024968801985871814,0.014851758136025905
123,2022-06-30,4.01,4.01,3.832,3.886,1767770,-0.031410890363229305,-0.031410890363229305,0.028914010164642123
124,2022-07-01,3.85,4.036,3.842,3.864,642123,-0.005677434604976828,0.0036297680505787966,0.03708832496820613
125,2022-07-04,3.866,3.912,3.638,3.716,2190619,-0.03905509539867946,-0.039572559834547105,0.035425327348100666
126,2022-07-05,3.722,3.8,3.51,3.658,1419715,-0.015731270982918266,-0.017344608251385063,0.05530383081746537
127,2022-07-06,3.68,3.76,3.572,3.718,1665442,0.016269339330578392,0.0102731371184126,0.0010752689208066712
128,2022-07-07,3.74,3.952,3.74,3.9,1464084,0.047790663836348335,0.04189094170915997,-0.058063800954760936
129,2022-07-08,3.946,3.976,3.82,3.92,1430115,0.005115100666770456,-0.006610753798052649,-0.047006042375930424
130,2022-07-11,3.8,3.9,3.72,3.88,681291,-0.010256500167189042,0.020834086902842053,0.01686725396524169
131,2022-07-12,3.82,3.844,3.6,3.634,1835654,-0.06550118366120272,-0.049916452644504394,0.04466709675836067
132,2022-07-13,3.66,3.7,3.52,3.526,1688933,-0.03016988599830084,-0.03729906343759648,0.08008633864280523
133,2022-07-14,3.528,3.586,3.36,3.412,2292670,-0.03286545434624588,-0.03343250851511237,0.07016451778384236
134,2022-07-15,3.436,3.484,3.232,3.25,2064189,-0.048643633287786425,-0.05565300778036275,0.0820761418028988
135,2022-07-18,3.3,3.53,3.294,3.472,1561442,0.06607580045645767,0.05080832832566928,-0.010422792676094916
136,2022-07-19,3.5,3.524,3.412,3.524,1082583,0.014865911275829147,0.0068337395785649235,-0.06567423960149843
137,2022-07-20,3.582,3.7,3.49,3.606,1918592,0.023002416707192497,0.006677821142605511,-0.02983615628575742
138,2022-07-21,3.6,3.628,3.512,3.59,774576,-0.004446922280938015,-0.0027816429618767735,-0.0022308988616674963
139,2022-07-22,3.586,3.66,3.534,3.606,710597,0.004446922280938015,0.00556174959818434,-0.0016652793190612414
140,2022-07-25,3.61,3.7,3.6,3.63,1087262,0.006633523495633842,0.005524875931969708,-0.012195273093818182
141,2022-07-26,3.68,3.682,3.348,3.4,1323394,-0.06545721665464366,-0.07913732055872402,0.05993234072267395
142,2022-07-27,3.45,3.45,3.37,3.43,1453072,0.008784829555732898,-0.005813969865419821,0.07035249100299112
143,2022-07-28,3.45,3.57,3.444,3.52,795117,0.025900728432157072,0.02008675856673725,-0.02008675856673725
144,2022-07-29,3.574,3.696,3.55,3.69,1131286,0.04716546844243008,0.03194104131519948,-0.06725222700916733
145,2022-08-01,3.72,3.874,3.682,3.69,800739,0.0,-0.008097210232619556,-0.03194104131519948
146,2022-08-02,3.678,3.692,3.49,3.622,972663,-0.01860009859121403,-0.015342766720907619,0.026697308823833588
147,2022-08-03,3.634,3.716,3.568,3.716,940575,0.02562146149037048,0.022313850977612848,-0.01027869476946286
148,2022-08-04,3.716,3.78,3.65,3.726,672397,0.0026874512278045604,0.0026874512278045604,-0.02500130220541741
149,2022-08-05,3.74,3.77,3.654,3.7,1265199,-0.007002452529217829,-0.01075279177626176,0.004315001301413268
150,2022-08-08,3.696,3.914,3.68,3.89,1015469,0.05007633798017608,0.05115800385091718,-0.03932354620391432
151,2022-08-09,3.892,4.05,3.854,3.952,1182707,0.015812622255266362,0.015298615561862627,-0.06697062610618354
152,2022-08-10,3.998,3.998,3.81,3.886,1087529,-0.01684142893037288,-0.028413885122959837,0.001542813368510254
153,2022-08-11,3.94,4.038,3.9,3.95,959169,0.016335227957782195,0.002534855603188113,0.012078657165177642
154,2022-08-12,3.998,4.16,3.95,4.05,655213,0.025001302205417186,0.012922645040239544,-0.0275361578086053
155,2022-08-16,4.1,4.244,4.078,4.2,1059081,0.0363676441708749,0.024097551579060683,-0.049290289211114446
156,2022-08-17,4.2,4.2,3.896,3.946,1914070,-0.06238211768889901,-0.06238211768889901,0.038284566109838325
157,2022-08-18,3.912,4.088,3.91,4.032,641763,0.021560123168643752,0.030213778596496654,0.040821994520255256
