,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Stopa zwrotu,Stopa otwarcie-zamkniecie,Stopa zamkniecie-otwarcie
32,2022-02-17,44.0336,44.2943,42.9072,43.2889,1437848.9663857,-0.015151822389482206,-0.0170567277543614,0.02484985340483359
33,2022-02-18,43.1213,43.4378,42.6093,42.6093,1433955.0669126,-0.01582371179728881,-0.011944535260942413,0.03288043955165021
34,2022-02-21,42.8234,43.0468,40.7102,40.8312,1883426.0032819,-0.04262604425444927,-0.04763818710398082,0.05457057951539168
35,2022-02-22,40.0306,41.2222,39.6116,40.7753,3362284.981829,-0.0013699891244716156,0.018432344278846102,0.04900817622845244
36,2022-02-23,41.1384,41.7342,40.1516,40.2354,2794337.4544561,-0.013329300787610077,-0.022194786737000705,-0.005103043491236026
37,2022-02-24,36.7723,38.1687,33.095,33.4674,9138917.6126745,-0.18417537444177468,-0.09417301364956154,0.20637016117877538
38,2022-02-25,34.6311,38.4014,34.4635,37.908,8953309.120575,0.1245903409079041,0.09041004933193797,-0.030417327258342564
39,2022-02-28,36.735,37.9918,35.5713,37.5449,9105194.8319685,-0.009624621530150534,0.021807571005557413,-0.08078542780178743
40,2022-03-01,37.5636,38.3269,35.1059,35.1059,10180143.109251,-0.06716834256362425,-0.06766628887825954,0.04536077155806684
41,2022-03-02,34.9383,36.0927,34.4449,35.7017,9990715.9102195,0.016829099185287966,0.02161465801409923,0.050837189692971574
42,2022-03-03,35.4689,35.7203,34.3797,34.3797,7928662.5052314,-0.03773203278632087,-0.031189982268582828,0.016117374772221638
43,2022-03-04,34.3704,34.3704,31.2425,32.6389,7218979.1853951,-0.05196144536551772,-0.05169090030284229,0.08315142763410055
44,2022-03-07,31.047,31.7638,28.9058,31.0935,22352511.532689,-0.048506034422084454,0.0014966087713927934,0.10019693472492675
45,2022-03-08,30.507,32.7692,29.9298,30.8422,12534708.391018,-0.00811491204732917,0.01092771660109948,0.006618303275936377
46,2022-03-09,31.7359,34.3239,31.4659,34.1749,7464628.9219223,0.10260757441194102,0.07404292427880055,-0.1135352910130405
47,2022-03-10,34.8173,34.8173,32.583,33.486,5709322.4160082,-0.020364015455799134,-0.038986948656448916,-0.053678908823001414
48,2022-03-11,34.4449,35.7948,33.7002,34.5473,5688172.9024286,0.031201958513487504,0.002968453685875172,0.007784990142961412
49,2022-03-14,34.9104,35.4689,33.9236,34.4356,3561868.5448652,-0.003238486570552368,-0.013693866108962283,0.000270032884677196
50,2022-03-15,34.4356,35.5993,34.0353,35.2176,2889162.7686048,0.02245504466841597,0.02245504466841597,-0.008761178559453686
51,2022-03-16,35.7668,37.2284,35.6831,36.9957,6158791.2040192,0.04925573202867817,0.03378160084698889,-0.07171077669709414
52,2022-03-17,37.2843,38.0197,36.5395,37.5822,6238873.4091283,0.01572884437497679,0.007958207535859962,-0.04951044522196568
