,Spółka (kod),Okres stóp wzrotu,Średnia,Odchylenie standardowe,Skośność,Kurtoza
0,PKO,Dzienne stopy,0.0003379100172891452,0.02465372540129575,-0.20756519458073025,7.896603450062004
1,PKO,Tygodniowe stopy,0.0003379100172891452,0.02465372540129575,-0.20756519458073025,7.896603450062004
2,MIL,Dzienne stopy,-5.0815141124663124e-05,0.03195615713133679,-0.35902467193808313,4.627071763530682
3,MIL,Tygodniowe stopy,-5.0815141124663124e-05,0.03195615713133679,-0.35902467193808313,4.627071763530682
